Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,sentiment,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id
381,BV,@DiscussingFilm Wow this is a juggernaut of a film. I didnt anticipate it to pass Black Panther tho. I still believe it will win Best Picture at the #Oscars2023,Tue Sep 06 19:39:37 +0000 2022,A galaxy far far away ,273,0,0,2022-09-06 19:39:37+00:00,False,DiscussingFilm,['@DiscussingFilm'],Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9153}",0.0,0.651,0.349,0.9153,13.0,0.0,0.7165354330708661,0.0,0.5403079763304977,5108,original,
508,Klaus Toons,"Perhaps it's just my imagination, but I can't not see a Palmer self-portrait as the Black Night in @Marvel's Avengers #273 || Legendary inker (July 13, 1942 - Aug 18, 2022) passed away yesterday at the age of 81. https://t.co/mYuV6q1SGA https://t.co/dXXjvaxmUc",Fri Aug 19 16:54:35 +0000 2022,,12189,2,9,2022-08-19 16:54:35+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,6.0,0.0009024530314217737,23.994094488188978,0.0009020460655114876,3.2186395764913094,5235,original,
624,TJ 🍻,Stan Lee would be very disappointed with @Marvel if he seen what they have been doing since he passed .. they slowly tearing up his legacy,Fri Jul 29 17:28:55 +0000 2022,,396,0,0,2022-07-29 17:28:55+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.5256}",0.12,0.88,0.0,-0.5256,6.0,0.0,0.6346153846153846,0.0,0.4914075379088891,5358,original,
683,イルジュウダッゾ,"@DiscussingFilm Look. I saw the Wakanda Forever trailer. I CRIED. For five hours. And I hope their break downs and tears are for it too.

YOUR suffering allows ME to feel the warmth that was sorely needed after Chadwick passed away. You should be grateful.

Don't want to think you as UNgrateful.",Wed Jul 27 01:30:23 +0000 2022,,109,0,0,2022-07-27 01:30:23+00:00,False,DiscussingFilm,['@DiscussingFilm'],Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.201, 'neu': 0.656, 'pos': 0.143, 'compound': -0.3929}",0.201,0.656,0.143,-0.3929,13.0,0.0,0.1595900439238653,0.0,0.14806653224363578,5417,original,
735,Mark,"@IGN Its only the second movie. I understand he passed away, but dam you all act like this man played in 5 black panther movies. Treating it like as if Daniel Radcliffe died in deathly hallows part 1 type shit.",Mon Jul 25 03:22:11 +0000 2022,,129,0,0,2022-07-25 03:22:11+00:00,True,IGN,['@IGN'],Missing_Retweet_ID,IGN,"{'neg': 0.191, 'neu': 0.623, 'pos': 0.187, 'compound': -0.296}",0.191,0.623,0.187,-0.296,19.0,0.0,0.17551020408163265,0.0,0.16170226959121892,5469,original,
766,NOTAMRIRL,@Marvel Shoulda recast tchalla and dedicated the movie to chadwick. There was so much more story to tell with the character instead of using the actors death. Now youll shoehorn shuri as the lead when it should be okoye if anyone bc shes the strongest fighter who could pass the trials.,Sun Jul 24 17:39:21 +0000 2022,"New York, NY",206,0,0,2022-07-24 17:39:21+00:00,True,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.067, 'neu': 0.805, 'pos': 0.128, 'compound': 0.3818}",0.067,0.805,0.128,0.3818,6.0,0.0,0.2689295039164491,0.0,0.2381736347198478,5500,original,
794,st lennonberry paris🇳🇬🇷🇺🇨🇳🇰🇵🇺🇸🏁,"@Marvel Don't like this 
Also I don't understand, when they were postpone the movie did he not act little before he pass away y'all should respect him with this movie not buy showing his pic  when Paul walker pass FF still keep him in the movie they never cast him out.",Sun Jul 24 10:51:38 +0000 2022,Planet rock,146,0,0,2022-07-24 10:51:38+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.071, 'neu': 0.812, 'pos': 0.117, 'compound': 0.5608}",0.071,0.812,0.117,0.5608,6.0,0.0,0.18387909319899245,0.0,0.16879641401691386,5528,original,
812,EthanWayne,@Marvel Really would like to see red hulk i know the actor passed but you can still do red hulk he doesnt revert back and forth like bruce banner does. He enjoys the power it gives him so you can do that with a voice actor taking the reigns,Sun Jul 24 06:17:38 +0000 2022,,300,0,0,2022-07-24 06:17:38+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.8752}",0.0,0.815,0.185,0.8752,6.0,0.0,0.3694581280788177,0.0,0.3144151346488497,5546,original,
813,CityCinderella🏝🏳️‍🌈,"@DiscussingFilm This was the best marvel trailer ever. Go argue with yo mammy,  and for all you recast tchalla fools who wanted ryan coogler to put a different actor in this role and move on like his good friend didn't pass in real life are clowns",Sun Jul 24 05:56:19 +0000 2022,"Atlanta, GA",3084,0,1,2022-07-24 05:56:19+00:00,False,DiscussingFilm,['@DiscussingFilm'],Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.095, 'neu': 0.642, 'pos': 0.264, 'compound': 0.875}",0.095,0.642,0.264,0.875,13.0,0.00032425421530479895,3.793357933579336,0.00032420165626808,1.5672311957908986,5547,original,
815,Dave Otuwa,@DiscussingFilm @deray I have a BLACK PANTHER poster in my bedroom. I got it for Xmas. The actor who played the titular character passed away young due to lung cancer. Nope. He wasn't high with cigarettes. https://t.co/Zw9kkeEqqA,Sun Jul 24 05:53:55 +0000 2022,"Sin City, SoNev👎🏽",966,0,1,2022-07-24 05:53:55+00:00,False,DiscussingFilm,"['@DiscussingFilm', '@deray']",Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.113, 'neu': 0.825, 'pos': 0.062, 'compound': -0.4588}",0.113,0.825,0.062,-0.4588,13.0,0.0010351966873706005,1.185276073619632,0.0010346612407763293,0.781742170048799,5549,original,
