Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,sentiment,neg,neu,pos,compound,Original_Tweeter,Community,adjusted_sentiment,cleaned_text
2990,trapholizay,"Chadwick Boseman, ""Black Panther"" Star, Has Passed Away At 43

#blackpanther #chadwickboseman #coloncancer #news #popculture #rip
https://t.co/fkJ5Nmc1jU",Sat Aug 29 03:10:03 +0000 2020,The Internet,30,0,0,2020-08-29 03:10:00,True,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,self,Other,neu,chadwick boseman black panther star passed away 43
2991,Pamelous,"I am totally destroyed 🙃 my favorite actor, fellow Pittsburgh Steelers Fan has passed away. He made the Black Panther character feel real to the African American community. 🙏 RIP #chadwickboseman #WakandaForever ❤😢😭",Sat Aug 29 03:10:00 +0000 2020,,5,0,0,2020-08-29 03:10:00,True,"{'neg': 0.134, 'neu': 0.652, 'pos': 0.214, 'compound': 0.2698}",0.134,0.652,0.214,0.2698,self,Other,pos,totally destroyed favorite actor fellow pittsburgh steelers fan passed away made black panther character feel real african american community rip
2993,リナニア (Lina Nia)🌸,"Chadwick Aaron Boseman
Actor Black Panther He goes
Passed away
Rest of peace
Sad news 😔🙏🏻😭 https://t.co/SBNTr501gG",Sat Aug 29 03:09:53 +0000 2020,"Sandakan, Sabah",565,0,11,2020-08-29 03:09:00,True,"{'neg': 0.176, 'neu': 0.625, 'pos': 0.199, 'compound': 0.1027}",0.176,0.625,0.199,0.1027,self,Other,neu,chadwick aaron boseman actor black panther goes passed away rest peace sad news
2994,melanie saw louis on tour :’),"Black Panther is one of my favorite Marvel movies and it hurts to find out that Chadwick has passed away. RIP Chadwick, you made a huge impact and will always be a huge inspiration.",Sat Aug 29 03:09:53 +0000 2020,,1275,1,1,2020-08-29 03:09:00,True,"{'neg': 0.104, 'neu': 0.435, 'pos': 0.462, 'compound': 0.8658}",0.104,0.435,0.462,0.8658,self,Other,pos,black panther one favorite marvel movies hurts find chadwick passed away rip chadwick made huge impact always huge inspiration
2995,Kathleen Bade,"Gone at 43. So sad to learn the news that actor #chadwickboseman has passed away. Here he is playing #42.
 #RIP https://t.co/jJVbWSRGKi",Sat Aug 29 03:09:52 +0000 2020,San Diego KSWB-TV,16352,2,18,2020-08-29 03:09:00,True,"{'neg': 0.261, 'neu': 0.588, 'pos': 0.151, 'compound': -0.3182}",0.261,0.588,0.151,-0.3182,self,Other,neg,gone 43 sad learn news actor passed away playing
2999,cematu lah,Bro...i just woke up to news saying chadwick boseman has passed away...this is so unexpected. RIP black panther and wakanda forever,Sat Aug 29 03:09:34 +0000 2020,Flying on a nimbus cloud,39,0,1,2020-08-29 03:09:00,True,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,self,Other,neu,broi woke news saying chadwick boseman passed awaythis unexpected rip black panther wakanda forever
3000,suffering postponed!!,"@shuuily Im over here crying because someone I looked up to has passed, meanwhile on my tl im seeing stuff like ""Is BlACk PanTHeR 2 ComING?"" and bs like using fancams and making a joke out of his death. And it's literally disgusting",Sat Aug 29 03:09:28 +0000 2020,she/her | black,1871,0,2,2020-08-29 03:09:00,True,"{'neg': 0.301, 'neu': 0.491, 'pos': 0.208, 'compound': -0.6369}",0.301,0.491,0.208,-0.6369,shuuily,Other,neg,im crying someone looked passed meanwhile tl im seeing stuff like black panther 2 coming bs like using fancams making joke death literally disgusting
3002,no 1 skts liker ^^,"tw // death

 STOP TRENDING BLACK PANTHER 2 WHAT IS WRONG WITH THESE PEOPLE A MAN JUST PASSED AWAY",Sat Aug 29 03:09:22 +0000 2020,04. ⠀⠀ ⠀⠀ ⠀⠀  ⠀⠀ ⠀⠀ ⠀⠀ ,394,0,0,2020-08-29 03:09:00,True,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.8481}",0.535,0.465,0.0,-0.8481,self,Other,neg,tw death stop trending black panther 2 wrong people man passed away
3003,Gentle Wind,#Chadwickboseman who played the role of black panther passed away at 43 after battling with cancer. May his soul rip.🙏😥 https://t.co/Z0CQWxE44Q,Sat Aug 29 03:09:21 +0000 2020,,1,0,0,2020-08-29 03:09:00,True,"{'neg': 0.363, 'neu': 0.503, 'pos': 0.134, 'compound': -0.6249}",0.363,0.503,0.134,-0.6249,self,Other,neg,played role black panther passed away 43 battling cancer may soul rip
3004,Princess Goth ❤️‍🔥,Legit crying because #chadwickboseman has passed away. I am so heart broken. #WakandaForever,Sat Aug 29 03:09:19 +0000 2020,"New York, NY",129,0,3,2020-08-29 03:09:00,True,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.7351}",0.608,0.392,0.0,-0.7351,self,Other,neg,legit crying passed away heart broken
3008,nomin au 📌,"tw // death 

the actor who played black panther just passed away 💔",Sat Aug 29 03:09:00 +0000 2020,renhyuck household she/her,194,0,0,2020-08-29 03:09:00,True,"{'neg': 0.317, 'neu': 0.488, 'pos': 0.195, 'compound': -0.3612}",0.317,0.488,0.195,-0.3612,self,Other,neg,tw death actor played black panther passed away
3009,Alexandrite,Another sad day in the Marvel universe as Chadwick Boseman has passed away due to stage 3 colon cancer. He was loved by many and forever will be. He is in a better place now and is no longer suffering. I send my prayers to the family and friends. Wakanda Forever ❤🐱💐,Sat Aug 29 03:08:58 +0000 2020,"Iowa, USA",134,0,0,2020-08-29 03:08:00,True,"{'neg': 0.251, 'neu': 0.449, 'pos': 0.3, 'compound': 0.2732}",0.251,0.449,0.3,0.2732,self,Other,neu,another sad day marvel universe chadwick boseman passed away due stage 3 colon cancer loved many forever better place longer suffering send prayers family friends wakanda forever
3010,Ojas,Completely disturbed by knowing that Chadwick Boseman passed away.. King T'chala Wakanda forever 🙏🙏 #ripChadwick #WakandaForever #MarvelsAvengers,Sat Aug 29 03:08:47 +0000 2020,Mumbai,53,0,0,2020-08-29 03:08:00,True,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.4391}",0.224,0.776,0.0,-0.4391,self,Other,neg,completely disturbed knowing chadwick boseman passed away king tchala wakanda forever
3015,KOFY TV,"RIP to Chadwick Boseman, who passed away after fighting colon cancer for 4 years. He starred in Marvel’s Black Panther, Da 5 Bloods, and Marshall, just to name a couple. https://t.co/VU9PtlQuDP",Sat Aug 29 03:08:31 +0000 2020,San Francisco Bay Area,962,1,0,2020-08-29 03:08:00,True,"{'neg': 0.277, 'neu': 0.602, 'pos': 0.12, 'compound': -0.5994}",0.277,0.602,0.12,-0.5994,self,Other,neg,rip chadwick boseman passed away fighting colon cancer 4 years starred marvels black panther da 5 bloods marshall name couple
3016,🌾 Arky @ Windclan 🌾,"Black Panther was the first movie I saw in theaters after my dad died of colon cancer in 2018. It came out a few days after he passed away. 
I remember bawling in the theater when T’Challa saw his father again. That sadness hit so close to home but it helped me heal. RIP Chadwick",Sat Aug 29 03:08:30 +0000 2020,North Carolina,10055,3,58,2020-08-29 03:08:00,True,"{'neg': 0.295, 'neu': 0.705, 'pos': 0.0, 'compound': -0.8979}",0.295,0.705,0.0,-0.8979,self,Other,neg,black panther first movie saw theaters dad died colon cancer 2018 came days passed away remember bawling theater tchalla saw father sadness hit close home helped heal rip chadwick
3018,Beetz87,"Very sad to report that Black Panther actor Chadwick Boseman has passed away at the young age of 43. Rest in Peace, good sir, and know that you will be missed and loved and your performances will go down in History as the very best performances. Love and condolences to his family",Sat Aug 29 03:08:27 +0000 2020,Coventry,170,0,5,2020-08-29 03:08:00,True,"{'neg': 0.12, 'neu': 0.455, 'pos': 0.425, 'compound': 0.9371}",0.12,0.455,0.425,0.9371,self,Other,pos,sad report black panther actor chadwick boseman passed away young age 43 rest peace good sir know missed loved performances go history best performances love condolences family
3020,amy~HAIKYUU FINAL!,"tw // death//cancer 

being a marvel fan and black panther being the first movie that got me into marvel movies &amp; comics, hearing this hurt me so bad I cried like if one of my family members passed away rip angel thank you chadwick boseman for the amazing experience you gave me",Sat Aug 29 03:08:18 +0000 2020,"poc, she/they/them",760,0,0,2020-08-29 03:08:00,True,"{'neg': 0.197, 'neu': 0.456, 'pos': 0.346, 'compound': 0.7351}",0.197,0.456,0.346,0.7351,self,Other,pos,tw deathcancer marvel fan black panther first movie got marvel movies amp comics hearing hurt bad cried like one family members passed away rip angel thank chadwick boseman amazing experience gave
3021,Virgin Radio Edmonton,"Sad news, Chadwick Boseman has passed away at the age of 43.
He was such an icon as King T'Challa in Black Panther and his body of work is going to be remembered forever.",Sat Aug 29 03:08:12 +0000 2020,Edmonton,12790,1,2,2020-08-29 03:08:00,True,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}",0.154,0.846,0.0,-0.4767,self,Other,neg,sad news chadwick boseman passed away age 43 icon king tchalla black panther body work going remembered forever
3022,Now 105.7 Binghamton,"The ""Black Panther"" actor has passed away at the age of 42. RIP. https://t.co/LF0sdxm4d7",Sat Aug 29 03:08:02 +0000 2020,"Binghamton, NY",2408,0,0,2020-08-29 03:08:00,True,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,self,Other,neu,black panther actor passed away age 42 rip
3024,House of Colors,Sending our love and prayers to Chadwick Boseman’s family in this saddening and hard time. Boseman has passed away at the age of 43 after battling colon cancer for 4 years. 🙏 #HouseofColors #chadwickboseman #ripchadwickboseman #BreakingNews,Sat Aug 29 03:07:59 +0000 2020,Established by Entré,1971,0,0,2020-08-29 03:07:00,True,"{'neg': 0.392, 'neu': 0.459, 'pos': 0.148, 'compound': -0.7096}",0.392,0.459,0.148,-0.7096,self,Other,neg,sending love prayers chadwick bosemans family saddening hard time boseman passed away age 43 battling colon cancer 4 years
3025,namgi lover 🐨🐱| FREE 🇵🇸✨❤️,"Woke up to the most shocking news. Chadwick Boseman, the actor who played King T’Challa in Black Panther, passed away. RIP KING. 😔😭
𝑊𝑎𝑘𝑎𝑛𝑑𝑎 𝐹𝑜𝑟𝑒𝑣𝑒𝑟  
#chadwickboseman https://t.co/u4yIFvtjdH",Sat Aug 29 03:07:58 +0000 2020,,678,0,3,2020-08-29 03:07:00,True,"{'neg': 0.134, 'neu': 0.746, 'pos': 0.119, 'compound': -0.0772}",0.134,0.746,0.119,-0.0772,self,Other,neu,woke shocking news chadwick boseman actor played king tchalla black panther passed away rip king 𝑊𝑎𝑘𝑎𝑛𝑑𝑎 𝐹𝑜𝑟𝑒𝑣𝑒𝑟
3027,Ben 🎙️,"Chadwick Boseman passed away, a.k.a Black Panther.

Well fuck :(

This has just been a shitty year all around.

RIP dude.",Sat Aug 29 03:07:47 +0000 2020,,30,0,0,2020-08-29 03:07:00,True,"{'neg': 0.351, 'neu': 0.545, 'pos': 0.104, 'compound': -0.7184}",0.351,0.545,0.104,-0.7184,self,Other,neg,chadwick boseman passed away aka black panther well fuck shitty year around rip dude
3031,Maddy 💋,"Tayvin is going to be so heartbroken when I tell him that Black Panther passed away, he was his favorite 🥺 This shit is sad man.",Sat Aug 29 03:07:39 +0000 2020,,255,0,7,2020-08-29 03:07:00,True,"{'neg': 0.5, 'neu': 0.364, 'pos': 0.136, 'compound': -0.8402}",0.5,0.364,0.136,-0.8402,self,Other,neg,tayvin going heartbroken tell black panther passed away favorite shit sad man
3032,𝕮𝖔𝖉𝖞 𝕵𝖔𝖓𝖊𝖘,It is unbelievable that someone...of great talent can pass away so soon. I remember seeing 42 &amp; Get On Up that made me familiar with you. When you played Black Panther...it made me a big fan of ya work. And D5B was dope. I promise u will never be forgotten. RIP Chadwick Boseman😔 https://t.co/4Zzc11vYFe,Sat Aug 29 03:07:34 +0000 2020,None Ya Bidness,615,0,1,2020-08-29 03:07:00,True,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.9368}",0.0,0.57,0.43,0.9368,self,Other,pos,unbelievable someoneof great talent pass away soon remember seeing 42 amp get made familiar played black pantherit made big fan ya work d5b dope promise u never forgotten rip chadwick boseman
3034,AP Strange,"Oh wow that’s sad...
Chadwick Boseman, Star of Black Panther, Has Passed Away at 43 https://t.co/1PmSvGEmUm",Sat Aug 29 03:07:29 +0000 2020,"Worcester, MA",7057,1,5,2020-08-29 03:07:00,True,"{'neg': 0.183, 'neu': 0.592, 'pos': 0.225, 'compound': 0.1779}",0.183,0.592,0.225,0.1779,self,Other,pos,oh wow thats sad chadwick boseman star black panther passed away 43
