PCA1,PCA2,Community,t-SNE1,t-SNE2,Simplified Community,Username,engagement_score,retweet_count,Favorite Count,Followers Count
-13027.54342722892,-0.06130907576588982,1,12.058209,33.177876,1,pam campbell,0.0013280212483399733,1,0,752
-13476.543427228895,-0.06264536219314958,535,-3.8058689,28.63139,Other,claudia fernandez,0.0,0,0,303
-13096.543427228922,-0.06117637886012613,1,12.992344,24.427109,1,don,0.0014619883040935672,0,1,683
-12372.543427229,-0.056943221611493004,292,31.132772,-30.898136,Other,emily ♡🍉,0.005681818181818182,0,8,1407
-13452.543427229119,-0.050449798450629225,536,0.0146853225,17.084408,Other,nemis,0.012195121951219513,0,4,327
-11210.543427228902,-0.0622145446727967,18,47.285923,-3.096664,Other,🏀🏆coach butler,0.0003891050583657588,0,1,2569
-11190.543427228895,-0.06260328157174509,20,46.74256,-2.3783627,Other,future ♢ megatrends,0.0,0,0,2589
-10831.543427228895,-0.06259667311020345,1,46.97574,5.2748165,1,barbara dixon 🌊,0.0,0,0,2948
-7191.543427228899,-0.06237789999789783,537,65.318794,16.624174,Other,✨tiff✨,0.00015176809834572774,0,1,6588
-13701.543427228895,-0.0626495039865949,538,-34.365585,-25.428984,Other,jakob holgersson,0.0,0,0,78
-13777.543427228895,-0.06265090299238087,1,-38.47714,44.855164,1,dotti the angel,0.0,0,0,2
-12716.543427228895,-0.06263137213528981,539,28.868784,14.739102,Other,welcome to the show 🤸🏾‍♀️✨,0.0,0,0,1063
-11041.543427229004,-0.05675899077386304,469,46.918007,1.2139004,Other,t m,0.005841548010222709,1,15,2738
-12375.543427228908,-0.0619133512449818,1,30.979948,-30.718504,1,heidi wolff,0.0007117437722419929,0,1,1404
-13731.543427228895,-0.06265005622572094,293,-53.691788,-31.121078,Other,dog john,0.0,0,0,48
-10388.543427228902,-0.06229370705835416,540,47.86008,11.951497,Other,cult faction,0.00029481132075471697,0,1,3391
-13684.543427229662,-0.02098252438442348,541,-41.82971,-14.473004,Other,keshav batra,0.041666666666666664,0,4,95
-13277.543427228895,-0.06264169900694681,0,0.12585069,-36.076855,0,c.e.d.r.i.c.,0.0,0,0,502
-13301.543427228933,-0.06055445812601384,1,-1.081108,-31.438482,1,fluturitastic❤️🤍💚,0.0020876826722338203,0,1,478
-13757.543427228895,-0.06265053483296351,294,-64.09868,9.34761,Other,🤍✿ am loves u! ✿🤍,0.0,0,0,22
-11431.543427228902,-0.062182004823333074,542,47.929543,-8.76066,Other,notcher,0.0004257130693912303,0,1,2348
-13024.54342722892,-0.06131429046756587,126,12.25785,33.554165,Other,ryan jackson,0.0013227513227513227,0,1,755
-12579.543427228911,-0.061796210776170146,543,26.525002,3.8484027,Other,☁️auie aizawa🍓,0.0008326394671107411,0,1,1200
-13582.543427228988,-0.05759680838755654,544,-11.258589,-7.6894965,Other,raribot san-mei,0.005050505050505051,0,1,197
-11033.543427228895,-0.06260039152031881,545,47.03335,1.3791348,Other,the goddess of light,0.0,0,0,2746
-13226.543427228895,-0.06264076020043255,1,11.651971,-41.516296,1,a-classic-mom,0.0,0,0,553
-13477.543427228895,-0.06264538060112045,192,-3.8957446,29.057789,Other,ochocinco,0.0,0,0,302
-13586.54342722899,-0.057492747894687335,192,-12.31237,-9.857487,Other,coastalchildcreative,0.005154639175257732,0,1,193
-13675.543427228895,-0.06264902537935232,546,-45.31151,-8.504004,Other,brbgettingbanned,0.0,0,0,104
-13729.543427232144,0.1138205688255149,295,-52.145615,-33.131832,Other,bribri,0.17647058823529413,0,9,50
-13603.54342723139,0.0729455203335332,3,-20.944057,-12.589911,3,"artina leatrice graves, mba",0.13559322033898305,0,24,176
-13467.543427228895,-0.06264519652141176,547,-2.359659,24.23532,Other,sanner 🌻,0.0,0,0,312
-12731.543427228895,-0.06263164825485283,13,29.251083,16.32322,13,tracyinthevi,0.0,0,0,1048
-13636.543427228895,-0.06264830746848847,296,-34.984543,8.078161,Other,mr coverage,0.0,0,0,143
-13095.543427229002,-0.056798932697854666,0,12.963736,24.598747,0,free flames scout,0.00583941605839416,0,4,684
-13777.543427228895,-0.06265090299238087,62,-38.47714,44.855164,Other,meloncrab,0.0,0,0,2
-12519.543427228968,-0.05866263870713824,1,25.277933,-0.74879295,1,mrfunjay,0.003965107057890563,2,3,1260
-12769.543427228895,-0.06263234775774583,15,30.31481,22.598219,15,jonnywhy49,0.0,0,0,1010
-13711.543427228895,-0.06264968806630357,548,-34.908123,-36.87486,Other,utkal today,0.0,0,0,68
-13507.543427228895,-0.06264593284024648,549,-12.788744,36.519897,Other,winston&co.,0.0,0,0,272
-13649.543427228895,-0.06264854677210975,550,-44.082813,7.1201715,Other,srivastava manoj,0.0,0,0,130
-13584.543427228895,-0.06264735025400332,551,-11.796932,-8.760611,Other,aha,0.0,0,0,195
7388.456572771098,-0.06202508544572754,297,74.44537,-4.2571273,Other,90s mania z 🕹 retro memes,0.0002361944352591053,0,5,21168
-13722.543427228895,-0.06264989055398312,1,-46.25241,-37.922523,1,li-lin 🐉,0.0,0,0,57
-13745.54342722942,-0.03407888536588453,13,-67.29699,-4.489059,13,thereal2tweezy,0.02857142857142857,0,1,34
-13749.543427228895,-0.06265038756919657,13,-67.20953,0.0975876,13,morethanjustblackpod,0.0,0,0,30
-13668.543427228895,-0.06264889652355625,15,-46.74772,-4.2674017,15,melissa gallegos,0.0,0,0,111
-13777.543427228895,-0.06265090299238087,1,-38.47714,44.855164,1,mattjopics,0.0,0,0,2
-12792.543427228933,-0.06060847964310008,1,30.245985,29.066214,1,jack the baptist ☧ ™️,0.0020242914979757085,0,2,987
-8637.543427228899,-0.06236184697875893,298,59.403656,20.281641,Other,gavin,0.00019443904335990667,0,1,5142
-13711.543427228895,-0.06264968806630357,552,-34.908123,-36.87486,Other,sainleron,0.0,0,0,68
-13568.543427228895,-0.06264705572646943,1,-11.701176,1.197546,1,elliecat 🇦🇺,0.0,0,0,211
-12442.54342722891,-0.06187894419581605,1,28.609917,-26.281588,1,winston fisher,0.0007473841554559044,0,1,1337
-13755.543427228895,-0.06265049801702177,553,-65.24314,7.1139727,Other,s̶o̶u̶s̶h̶i̶,0.0,0,0,24
-12998.543427229084,-0.05240638415494163,554,13.112673,36.79425,Other,jazzynupe.xbox,0.010230179028132993,2,6,781
-9881.543427228915,-0.06155328145991004,1,50.27216,17.12064,1,remy jackson,0.0010259040779687098,2,2,3898
-9233.543427230103,0.0029704600034038825,555,55.621002,20.476086,Other,nick streiff,0.06553771717616011,33,265,4546
-6656.543427228953,-0.0594316671086399,51,66.49483,15.120301,Other,"jason hurley/sf=$30,871,139 min=$19,976,963",0.0030881527231892197,2,20,7123
-13426.543427228948,-0.05981958303754402,556,4.122556,4.4718246,Other,eri in生,0.002824858757062147,0,1,353
-12672.543427228928,-0.06082550803294707,127,27.976423,10.938237,Other,aaron schiffman,0.0018050541516245488,0,2,1107
-13718.543427228895,-0.06264981692209966,557,-42.3397,-39.609295,Other,beauty by kimaaa,0.0,0,0,61
-13776.543427228895,-0.06265088458441,3,-40.65653,43.011402,3,lesliew,0.0,0,0,3
-13776.543427228895,-0.06265088458441,3,-40.65653,43.011402,3,lesliew,0.0,0,0,3
-13760.543427229815,-0.012650590056876125,13,-55.559273,23.069063,13,chris bamsey,0.05,0,1,19
-13690.543427229304,-0.040427079276693124,299,-39.2721,-17.806402,Other,cleveland against the world,0.022222222222222223,0,2,89
