Community,Average Degree Centrality,Node Count,Community Description
91,0.0005299309051627,7,@watchxbtv @bobhessjr @mikepuype | arizona
92,0.0005299309051627,7,@heelmodephoenix
93,0.000489166989381,7,@narvesenconnie
94,0.000489166989381,7,@mechtexas | denis | @briandcolwell | https://t.co/iphoiuusxy
95,0.000489166989381,7,@hiroyabigwin
96,0.0005706948209444,7,https://t.co/qctqbpsmar | wakanda forever
97,0.000489166989381,7,
98,0.000489166989381,7,chadwick boseman | woozi
99,0.000489166989381,7,
100,0.000489166989381,7,chadwick boseman
101,0.000489166989381,7,chadwick bowman
102,0.0005706948209444,7,t'challa | @chickfila
103,0.0005706948209444,7,@wsdot | chadwick boseman
104,0.000489166989381,7,chadwickboseman
105,0.0005299309051627,7,@sterlingkbrown | boseman
106,0.000489166989381,7,
107,0.000489166989381,7,adam west | lewis wilson
108,0.000489166989381,7,"@thatstarwarsgrl 

https://t.co/duj7mmff6n https://t.co/7w6glgoasr | america | kevin smith | wilf"
109,0.000489166989381,7,@gimmayyyyyy
110,0.000489166989381,7,scott lang | @seeknay
111,0.000489166989381,7,
112,0.000489166989381,7,jack kirby's
113,0.000489166989381,7,george perez | stan lee
114,0.000489166989381,7,un | stan lee | christopher
115,0.000489166989381,7,
116,0.000489166989381,7,@detrainalexis @dccomics_fr | james bond | @neoaxi | un | tait bien | ben c'tait le chapitre de trop | ben
117,0.000489166989381,7,michael keaton
118,0.0005706948209444,7,carl bathelt sr. | massachusetts
119,0.000489166989381,7,@jessehawken
120,0.000489166989381,7,chadwick
121,0.000489166989381,7,stan lee | ps
122,0.0005299309051627,7,stan lee | @cyanide1124 @comcodycc2224 @aniqrahman | steve ditko
123,0.000489166989381,7,stan lee | @akicarlhardin | @justinbaragona
124,0.0004755790174537,6,@antonystarr | @remiskaza
125,0.0005231369191991,6,t'challa
126,0.0004755790174537,6,
127,0.0004755790174537,6,@danersmcguinn | @mannexclusiv @ava | jack kirbys | stan lee
128,0.0005231369191991,6,@keemstar | @churchonahill
129,0.0005231369191991,6,jackie robinson
130,0.0004755790174537,6,bbc news | @shaunley | chadwick | chadwick benson
131,0.0004755790174537,6,wakanda forever
132,0.0004755790174537,6,chadwick boseman | @serenasdress
133,0.0004755790174537,6,blackpanther | chadwickboseman
134,0.0004755790174537,6,@yeeyee869 @y_killz @_marlanderthews | shuri
135,0.0005706948209444,6,@kolbiashi @joebiden | joe biden | @joebiden
136,0.0004755790174537,6,@aliyahsimonee chadwick boseman | @papicheeserolls @aliyahsimonee chadwick boseman
137,0.0005231369191991,6,@grizzlyprxd
138,0.0004755790174537,6,chadwick boseman | https://t.co/um8ieruprn | @sbaxterson @prez | @prez
139,0.0005231369191991,6,@leiahuttslayer
140,0.0004755790174537,6,jordan | chadwick bozeman | @dojaszick
141,0.0004755790174537,6,https://t.co/fabkhhe1jj | @afncwoodward
142,0.0004755790174537,6,@gategab | jackie chan | brad allan
143,0.0004755790174537,6,"@theblackpanther

@karmajulio1 | https://t.co/ofxweiqhmw | wakanda forever"
144,0.0004755790174537,6,@pagetpaget
145,0.0004755790174537,6,@livingscribe
146,0.0004755790174537,6,pakistan
147,0.0004755790174537,6,
148,0.0004755790174537,6,chadwick boseman | @daviddtss shuri
149,0.0004755790174537,6,iran
150,0.0004755790174537,6,stark | parker &amp
151,0.0004755790174537,6,@angleehulkstan @venkshen | falcon
152,0.0004755790174537,6,
153,0.0004755790174537,6,sony | microsoft | xbox
154,0.0004755790174537,6,stan
155,0.0004755790174537,6,sony | para el futuro | la secuela | xbox | @aydenstonex perdon? | jajajaja la secuela ya no va tener
156,0.0004755790174537,6,@machala https://t.co/3qsl1rn820
157,0.0004755790174537,6,stan
158,0.0004755790174537,6,cnn | @90slatinreina @aperson728 @chron | stan lee | anthony bourdain
159,0.0004755790174537,6,@isoskramer | chadwick boseman | comedy korg
160,0.0004755790174537,6,wu | kevin feige | @crusty783
161,0.0004755790174537,6,
162,0.0004755790174537,6,t'challa | chadwick | @thecomixkid
163,0.0004755790174537,6,@uncannythomas | america | wakanda | @edzofpain
164,0.0005231369191991,6,chadwick | @virgoavenger | shuri
165,0.0004755790174537,6,@slapwa2
166,0.0004755790174537,6,microsoft | japan
167,0.0004755790174537,6,
168,0.0004755790174537,6,
169,0.0004755790174537,6,@ronnoconiv @scooty234 | @cramptv @kidnoah
170,0.0004755790174537,6,mar-vell | @bkh511 @sakunigg @bradybones
171,0.0004755790174537,6,@_codenerd | @jay_mikee peter | peter | jesus
172,0.0004755790174537,6,95 &amp | @brielarson
173,0.0004755790174537,6,
174,0.0004755790174537,6,
175,0.0004755790174537,6,sam raimi
176,0.0005706948209444,5,
177,0.0004565558567555,5,https://t.co/yohyftngi0
178,0.0004565558567555,5,uncle ben | peter parker | @jorgejimenezart
179,0.0004565558567555,5,wakanda
180,0.0004565558567555,5,shuri
181,0.0004565558567555,5,ac
182,0.0004565558567555,5,@luisn_94
183,0.0004565558567555,5,@c4ked7
184,0.0004565558567555,5,
185,0.0004565558567555,5,avec le
186,0.0006848337851334,5,
187,0.0004565558567555,5,chadwick
188,0.0004565558567555,5,mobius | @mostdopemclovin | tva
189,0.0004565558567555,5,@burbleyuh
190,0.0004565558567555,5,
191,0.0004565558567555,5,
192,0.0004565558567555,5,james brown | jackie robinson | chadwick boseman | @melaninmiyagi
193,0.0004565558567555,5,
194,0.0004565558567555,5,chadwick boseman | @ticcytx
195,0.0004565558567555,5,
196,0.0004565558567555,5,https://t.co/i0ti2i0an4 | los angeles | @rams | nfl
197,0.0004565558567555,5,chadwick boseman | https://t.co/ncj5ceirqc
198,0.0004565558567555,5,chadwickboseman | chemotherapy &amp | todayinla
199,0.0004565558567555,5,chadwick boseman
200,0.0004565558567555,5,assumed tao's
201,0.0004565558567555,5,chadwick boseman
202,0.0004565558567555,5,chadwick boseman
203,0.0004565558567555,5,@_baba_jk chadwick boseman | @notyourmisstt
204,0.0004565558567555,5,@noshamelh @kisseslouie
205,0.0006848337851334,5,chadwick | @neckyza1 @u_kunateh
206,0.0004565558567555,5,chadwick boseman
207,0.0004565558567555,5,
208,0.0004565558567555,5,@fazelulutype | @futives
209,0.0004565558567555,5,@visecs | wakanda forever
210,0.0004565558567555,5,@aqualitymess
211,0.0004565558567555,5,@euphoricvinyl
212,0.0004565558567555,5,chadwick boseman | @jordanrbowler
213,0.0004565558567555,5,chadwick boseman | @imericacampbell
214,0.0004565558567555,5,@jefffrancoeur | jackie robinson | chadwick boseman
215,0.0004565558567555,5,@karapiana
216,0.0004565558567555,5,@deadlylxmela
217,0.0004565558567555,5,chadwick boseman | rip wakanda
218,0.0004565558567555,5,
219,0.0004565558567555,5,rumor | kinda | shuri | stan lee | @jason24cf
220,0.0004565558567555,5,@leakthompson | https://t.co/xmzaklyqkr @gregorycordaro greg | chadwick boseman
221,0.0004565558567555,5,lincoln | chadwick boseman
222,0.0004565558567555,5,@seatinmol | kamala khan
223,0.0004565558567555,5,
224,0.0004565558567555,5,@southiefromstw1
225,0.0004565558567555,5,
226,0.0004565558567555,5,
227,0.0004565558567555,5,disney+
