Community,Average Degree Centrality,Node Count,Community Description
321,0.0004280211157083,4,Other
322,0.0004280211157083,4,Other
323,0.0004280211157083,4,Other
324,0.0004280211157083,4,Other
325,0.0004280211157083,4,Other
326,0.0004280211157083,4,Other
327,0.0004280211157083,4,Other
328,0.0004280211157083,4,Other
329,0.0004280211157083,4,Other
330,0.0004280211157083,4,Other
331,0.0004280211157083,4,Other
332,0.0004280211157083,4,Other
333,0.0004280211157083,4,Other
334,0.0004280211157083,4,Other
335,0.0004280211157083,4,Other
336,0.0004280211157083,4,Other
337,0.0004280211157083,4,Other
338,0.0004280211157083,4,Other
339,0.0004280211157083,4,Other
340,0.0004280211157083,4,Other
341,0.0005706948209444,4,Other
342,0.0004280211157083,4,Other
343,0.0004280211157083,4,Other
344,0.0005706948209444,4,Other
345,0.0004280211157083,4,Other
346,0.0004280211157083,4,Other
347,0.0004280211157083,4,Other
348,0.0004280211157083,4,Other
349,0.0004280211157083,4,Other
350,0.0004280211157083,4,Other
351,0.0004280211157083,4,Other
352,0.0004280211157083,4,Other
353,0.0004280211157083,4,Other
354,0.0004280211157083,4,Other
355,0.0004280211157083,4,Other
356,0.0004280211157083,4,Other
357,0.0004280211157083,4,Other
358,0.0004280211157083,4,Other
359,0.0004280211157083,4,Other
360,0.0004280211157083,4,Other
361,0.0004280211157083,4,Other
362,0.0004280211157083,4,Other
363,0.0004280211157083,4,Other
364,0.0004280211157083,4,Other
365,0.0005706948209444,4,Other
366,0.0004280211157083,4,Other
367,0.0005706948209444,4,Other
368,0.0004280211157083,4,Other
369,0.0004280211157083,4,Other
370,0.0004280211157083,4,Other
371,0.0004280211157083,4,Other
372,0.0004280211157083,4,Other
373,0.0004280211157083,4,Other
374,0.0004280211157083,4,Other
375,0.0004280211157083,4,Other
376,0.0004280211157083,4,Other
377,0.0004280211157083,4,Other
378,0.0005706948209444,4,Other
379,0.0004280211157083,4,Other
380,0.0005706948209444,4,Other
381,0.0004280211157083,4,Other
382,0.0005706948209444,4,Other
383,0.0004280211157083,4,Other
384,0.0004280211157083,4,Other
385,0.0004280211157083,4,Other
386,0.0004280211157083,4,Other
387,0.0004280211157083,4,Other
388,0.0004280211157083,4,Other
389,0.0004280211157083,4,Other
390,0.0004280211157083,4,Other
391,0.0004280211157083,4,Other
392,0.0004280211157083,4,Other
393,0.0004280211157083,4,Other
394,0.0004280211157083,4,Other
395,0.0004280211157083,4,Other
396,0.0004280211157083,4,Other
397,0.0004280211157083,4,Other
398,0.0004280211157083,4,Other
399,0.0004280211157083,4,Other
400,0.0004280211157083,4,Other
401,0.0004280211157083,4,Other
402,0.0004280211157083,4,Other
403,0.0004280211157083,4,Other
404,0.0004280211157083,4,Other
405,0.0004280211157083,4,Other
406,0.0004280211157083,4,Other
407,0.0004280211157083,4,Other
408,0.0004280211157083,4,Other
409,0.0004280211157083,4,Other
410,0.0004280211157083,4,Other
411,0.0004280211157083,4,Other
412,0.0004280211157083,4,Other
413,0.0004280211157083,4,Other
414,0.0004280211157083,4,Other
415,0.0004280211157083,4,Other
416,0.0004280211157083,4,Other
417,0.0004280211157083,4,Other
418,0.0004280211157083,4,Other
419,0.0004280211157083,4,Other
420,0.0004280211157083,4,Other
421,0.0004280211157083,4,Other
422,0.0004280211157083,4,Other
423,0.0004280211157083,4,Other
424,0.0004280211157083,4,Other
425,0.0004280211157083,4,Other
426,0.0004280211157083,4,Other
427,0.0004280211157083,4,Other
428,0.0004280211157083,4,Other
429,0.0004280211157083,4,Other
430,0.0004280211157083,4,Other
431,0.0004280211157083,4,Other
432,0.0004280211157083,4,Other
433,0.0005706948209444,4,Other
434,0.0004280211157083,4,Other
435,0.0005706948209444,4,Other
436,0.0004280211157083,4,Other
437,0.0004280211157083,4,Other
438,0.0004280211157083,4,Other
439,0.0004280211157083,4,Other
440,0.0004280211157083,4,Other
441,0.0005706948209444,4,Other
442,0.0004280211157083,4,Other
443,0.0004280211157083,4,Other
444,0.0004280211157083,4,Other
445,0.0004280211157083,4,Other
446,0.0004280211157083,4,Other
447,0.0004280211157083,4,Other
448,0.0004280211157083,4,Other
449,0.0004280211157083,4,Other
450,0.0004280211157083,4,Other
451,0.0004280211157083,4,Other
452,0.0004280211157083,4,Other
453,0.0004280211157083,4,Other
454,0.0004280211157083,4,Other
455,0.0004280211157083,4,Other
456,0.0004280211157083,4,Other
457,0.0004280211157083,4,Other
458,0.0004280211157083,4,Other
459,0.0004280211157083,4,Other
460,0.0004280211157083,4,Other
461,0.0004280211157083,4,Other
462,0.0004280211157083,4,Other
463,0.0004280211157083,4,Other
464,0.0004280211157083,4,Other
465,0.0004280211157083,4,Other
466,0.0004280211157083,4,Other
467,0.000380463213963,3,Other
468,0.000380463213963,3,Other
469,0.000380463213963,3,Other
470,0.000380463213963,3,Other
471,0.000380463213963,3,Other
472,0.000380463213963,3,Other
473,0.000380463213963,3,Other
474,0.000380463213963,3,Other
475,0.000380463213963,3,Other
476,0.000380463213963,3,Other
477,0.000380463213963,3,Other
478,0.000380463213963,3,Other
479,0.000380463213963,3,Other
480,0.000380463213963,3,Other
481,0.000380463213963,3,Other
482,0.000380463213963,3,Other
483,0.000380463213963,3,Other
484,0.000380463213963,3,Other
485,0.000380463213963,3,Other
486,0.000380463213963,3,Other
487,0.000380463213963,3,Other
488,0.000380463213963,3,Other
489,0.000380463213963,3,Other
490,0.000380463213963,3,Other
491,0.000380463213963,3,Other
492,0.000380463213963,3,Other
493,0.000380463213963,3,Other
494,0.000380463213963,3,Other
495,0.000380463213963,3,Other
496,0.000380463213963,3,Other
497,0.000380463213963,3,Other
498,0.000380463213963,3,Other
499,0.000380463213963,3,Other
500,0.000380463213963,3,Other
501,0.000380463213963,3,Other
502,0.000380463213963,3,Other
503,0.000380463213963,3,Other
504,0.000380463213963,3,Other
505,0.000380463213963,3,Other
506,0.000380463213963,3,Other
507,0.000380463213963,3,Other
508,0.000380463213963,3,Other
509,0.000380463213963,3,Other
510,0.000380463213963,3,Other
511,0.000380463213963,3,Other
512,0.000380463213963,3,Other
513,0.000380463213963,3,Other
514,0.000380463213963,3,Other
515,0.000380463213963,3,Other
516,0.000380463213963,3,Other
517,0.000380463213963,3,Other
518,0.000380463213963,3,Other
519,0.000380463213963,3,Other
520,0.000380463213963,3,Other
521,0.000380463213963,3,Other
522,0.000380463213963,3,Other
523,0.000380463213963,3,Other
524,0.000380463213963,3,Other
525,0.000380463213963,3,Other
526,0.000380463213963,3,Other
527,0.000380463213963,3,Other
528,0.000380463213963,3,Other
529,0.000380463213963,3,Other
530,0.000380463213963,3,Other
531,0.000380463213963,3,Other
532,0.000380463213963,3,Other
533,0.000380463213963,3,Other
534,0.000380463213963,3,Other
535,0.000380463213963,3,Other
536,0.000380463213963,3,Other
537,0.000380463213963,3,Other
538,0.000380463213963,3,Other
539,0.000380463213963,3,Other
540,0.000380463213963,3,Other
541,0.000380463213963,3,Other
542,0.000380463213963,3,Other
543,0.000380463213963,3,Other
544,0.000380463213963,3,Other
