Community,Average Degree Centrality,Node Count
Community 308,0.00042802111570837496,4
Community 309,0.00042802111570837496,4
Community 310,0.00042802111570837496,4
Community 311,0.0005706948209444999,4
Community 312,0.00042802111570837496,4
Community 313,0.00042802111570837496,4
Community 314,0.0005706948209444999,4
Community 315,0.00042802111570837496,4
Community 316,0.00042802111570837496,4
Community 317,0.00042802111570837496,4
Community 318,0.00042802111570837496,4
Community 319,0.00042802111570837496,4
Community 320,0.00042802111570837496,4
Community 321,0.00042802111570837496,4
Community 322,0.00042802111570837496,4
Community 323,0.00042802111570837496,4
Community 324,0.00042802111570837496,4
Community 325,0.00042802111570837496,4
Community 326,0.00042802111570837496,4
Community 327,0.00042802111570837496,4
Community 328,0.00042802111570837496,4
Community 329,0.00042802111570837496,4
Community 330,0.00042802111570837496,4
Community 331,0.00042802111570837496,4
Community 332,0.00042802111570837496,4
Community 333,0.00042802111570837496,4
Community 334,0.00042802111570837496,4
Community 335,0.00042802111570837496,4
Community 336,0.00042802111570837496,4
Community 337,0.00042802111570837496,4
Community 338,0.00042802111570837496,4
Community 339,0.00042802111570837496,4
Community 340,0.00042802111570837496,4
Community 341,0.0005706948209444999,4
Community 342,0.00042802111570837496,4
Community 343,0.00042802111570837496,4
Community 344,0.0005706948209444999,4
Community 345,0.00042802111570837496,4
Community 346,0.00042802111570837496,4
Community 347,0.00042802111570837496,4
Community 348,0.00042802111570837496,4
Community 349,0.00042802111570837496,4
Community 350,0.00042802111570837496,4
Community 351,0.00042802111570837496,4
Community 352,0.00042802111570837496,4
Community 353,0.00042802111570837496,4
Community 354,0.00042802111570837496,4
Community 355,0.00042802111570837496,4
Community 356,0.00042802111570837496,4
Community 357,0.00042802111570837496,4
Community 358,0.00042802111570837496,4
Community 359,0.00042802111570837496,4
Community 360,0.00042802111570837496,4
Community 361,0.00042802111570837496,4
Community 362,0.00042802111570837496,4
Community 363,0.00042802111570837496,4
Community 364,0.00042802111570837496,4
Community 365,0.0005706948209444999,4
Community 366,0.00042802111570837496,4
Community 367,0.0005706948209444999,4
Community 368,0.00042802111570837496,4
Community 369,0.00042802111570837496,4
Community 370,0.00042802111570837496,4
Community 371,0.00042802111570837496,4
Community 372,0.00042802111570837496,4
Community 373,0.00042802111570837496,4
Community 374,0.00042802111570837496,4
Community 375,0.00042802111570837496,4
Community 376,0.00042802111570837496,4
Community 377,0.00042802111570837496,4
Community 378,0.0005706948209444999,4
Community 379,0.00042802111570837496,4
Community 380,0.0005706948209444999,4
Community 381,0.00042802111570837496,4
Community 382,0.0005706948209444999,4
Community 383,0.00042802111570837496,4
Community 384,0.00042802111570837496,4
Community 385,0.00042802111570837496,4
Community 386,0.00042802111570837496,4
Community 387,0.00042802111570837496,4
Community 388,0.00042802111570837496,4
Community 389,0.00042802111570837496,4
Community 390,0.00042802111570837496,4
Community 391,0.00042802111570837496,4
Community 392,0.00042802111570837496,4
Community 393,0.00042802111570837496,4
Community 394,0.00042802111570837496,4
Community 395,0.00042802111570837496,4
Community 396,0.00042802111570837496,4
Community 397,0.00042802111570837496,4
Community 398,0.00042802111570837496,4
Community 399,0.00042802111570837496,4
Community 400,0.00042802111570837496,4
Community 401,0.00042802111570837496,4
Community 402,0.00042802111570837496,4
Community 403,0.00042802111570837496,4
Community 404,0.00042802111570837496,4
Community 405,0.00042802111570837496,4
Community 406,0.00042802111570837496,4
Community 407,0.00042802111570837496,4
Community 408,0.00042802111570837496,4
Community 409,0.00042802111570837496,4
Community 410,0.00042802111570837496,4
Community 411,0.00042802111570837496,4
Community 412,0.00042802111570837496,4
Community 413,0.00042802111570837496,4
Community 414,0.00042802111570837496,4
Community 415,0.00042802111570837496,4
Community 416,0.00042802111570837496,4
Community 417,0.00042802111570837496,4
Community 418,0.00042802111570837496,4
Community 419,0.00042802111570837496,4
Community 420,0.00042802111570837496,4
Community 421,0.00042802111570837496,4
Community 422,0.00042802111570837496,4
Community 423,0.00042802111570837496,4
Community 424,0.00042802111570837496,4
Community 425,0.00042802111570837496,4
Community 426,0.00042802111570837496,4
Community 427,0.00042802111570837496,4
Community 428,0.00042802111570837496,4
Community 429,0.00042802111570837496,4
Community 430,0.00042802111570837496,4
Community 431,0.00042802111570837496,4
Community 432,0.00042802111570837496,4
Community 433,0.0005706948209444999,4
Community 434,0.00042802111570837496,4
Community 435,0.0005706948209444999,4
Community 436,0.00042802111570837496,4
Community 437,0.00042802111570837496,4
Community 438,0.00042802111570837496,4
Community 439,0.00042802111570837496,4
Community 440,0.00042802111570837496,4
Community 441,0.0005706948209444999,4
Community 442,0.00042802111570837496,4
Community 443,0.00042802111570837496,4
Community 444,0.00042802111570837496,4
Community 445,0.00042802111570837496,4
Community 446,0.00042802111570837496,4
Community 447,0.00042802111570837496,4
Community 448,0.00042802111570837496,4
Community 449,0.00042802111570837496,4
Community 450,0.00042802111570837496,4
Community 451,0.00042802111570837496,4
Community 452,0.00042802111570837496,4
Community 453,0.00042802111570837496,4
Community 454,0.00042802111570837496,4
Community 455,0.00042802111570837496,4
Community 456,0.00042802111570837496,4
Community 457,0.00042802111570837496,4
Community 458,0.00042802111570837496,4
Community 459,0.00042802111570837496,4
Community 460,0.00042802111570837496,4
Community 461,0.00042802111570837496,4
Community 462,0.00042802111570837496,4
Community 463,0.00042802111570837496,4
Community 464,0.00042802111570837496,4
Community 465,0.00042802111570837496,4
Community 466,0.00042802111570837496,4
Community 467,0.000380463213963,3
Community 468,0.000380463213963,3
Community 469,0.000380463213963,3
Community 470,0.000380463213963,3
Community 471,0.000380463213963,3
Community 472,0.000380463213963,3
Community 473,0.000380463213963,3
Community 474,0.000380463213963,3
Community 475,0.000380463213963,3
Community 476,0.000380463213963,3
Community 477,0.000380463213963,3
Community 478,0.000380463213963,3
Community 479,0.000380463213963,3
Community 480,0.000380463213963,3
Community 481,0.000380463213963,3
Community 482,0.000380463213963,3
Community 483,0.000380463213963,3
Community 484,0.000380463213963,3
Community 485,0.000380463213963,3
Community 486,0.000380463213963,3
Community 487,0.000380463213963,3
Community 488,0.000380463213963,3
Community 489,0.000380463213963,3
Community 490,0.000380463213963,3
Community 491,0.000380463213963,3
Community 492,0.000380463213963,3
Community 493,0.000380463213963,3
Community 494,0.000380463213963,3
Community 495,0.000380463213963,3
Community 496,0.000380463213963,3
Community 497,0.000380463213963,3
Community 498,0.000380463213963,3
Community 499,0.000380463213963,3
Community 500,0.000380463213963,3
Community 501,0.000380463213963,3
Community 502,0.000380463213963,3
Community 503,0.000380463213963,3
Community 504,0.000380463213963,3
Community 505,0.000380463213963,3
Community 506,0.000380463213963,3
Community 507,0.000380463213963,3
Community 508,0.000380463213963,3
Community 509,0.000380463213963,3
Community 510,0.000380463213963,3
Community 511,0.000380463213963,3
Community 512,0.000380463213963,3
Community 513,0.000380463213963,3
Community 514,0.000380463213963,3
Community 515,0.000380463213963,3
Community 516,0.000380463213963,3
Community 517,0.000380463213963,3
Community 518,0.000380463213963,3
Community 519,0.000380463213963,3
Community 520,0.000380463213963,3
Community 521,0.000380463213963,3
Community 522,0.000380463213963,3
Community 523,0.000380463213963,3
Community 524,0.000380463213963,3
Community 525,0.000380463213963,3
Community 526,0.000380463213963,3
Community 527,0.000380463213963,3
Community 528,0.000380463213963,3
Community 529,0.000380463213963,3
Community 530,0.000380463213963,3
Community 531,0.000380463213963,3
Community 532,0.000380463213963,3
Community 533,0.000380463213963,3
Community 534,0.000380463213963,3
Community 535,0.000380463213963,3
Community 536,0.000380463213963,3
Community 537,0.000380463213963,3
Community 538,0.000380463213963,3
Community 539,0.000380463213963,3
Community 540,0.000380463213963,3
Community 541,0.000380463213963,3
Community 542,0.000380463213963,3
Community 543,0.000380463213963,3
Community 544,0.000380463213963,3
Community 545,0.000380463213963,3
Community 546,0.000380463213963,3
Community 547,0.000380463213963,3
Community 548,0.000380463213963,3
Community 549,0.000380463213963,3
Community 550,0.000380463213963,3
Community 551,0.000380463213963,3
Community 552,0.000380463213963,3
Community 553,0.000380463213963,3
Community 554,0.000380463213963,3
Community 555,0.000380463213963,3
Community 556,0.000380463213963,3
Community 557,0.000380463213963,3
Community 558,0.000380463213963,3
Community 559,0.000380463213963,3
Community 560,0.000380463213963,3
Community 561,0.000380463213963,3
Community 562,0.000380463213963,3
Community 563,0.000380463213963,3
Community 564,0.000380463213963,3
Community 565,0.000380463213963,3
Community 566,0.000380463213963,3
Community 567,0.000380463213963,3
Community 568,0.000380463213963,3
Community 569,0.000380463213963,3
Community 570,0.000380463213963,3
Community 571,0.000380463213963,3
Community 572,0.000380463213963,3
Community 573,0.000380463213963,3
Community 574,0.000380463213963,3
Community 575,0.000380463213963,3
Community 576,0.000380463213963,3
Community 577,0.000380463213963,3
Community 578,0.000380463213963,3
Community 579,0.000380463213963,3
Community 580,0.000380463213963,3
Community 581,0.000380463213963,3
Community 582,0.000380463213963,3
Community 583,0.000380463213963,3
Community 584,0.000380463213963,3
Community 585,0.000380463213963,3
Community 586,0.000380463213963,3
Community 587,0.000380463213963,3
Community 588,0.000380463213963,3
Community 589,0.000380463213963,3
Community 590,0.000380463213963,3
Community 591,0.000380463213963,3
Community 592,0.000380463213963,3
Community 593,0.000380463213963,3
Community 594,0.000380463213963,3
Community 595,0.000380463213963,3
Community 596,0.000380463213963,3
Community 597,0.000380463213963,3
Community 598,0.000380463213963,3
Community 599,0.000380463213963,3
Community 600,0.000380463213963,3
Community 601,0.000380463213963,3
Community 602,0.000380463213963,3
Community 603,0.000380463213963,3
Community 604,0.000380463213963,3
Community 605,0.000380463213963,3
Community 606,0.000380463213963,3
Community 607,0.000380463213963,3
Community 608,0.000380463213963,3
Community 609,0.000380463213963,3
Community 610,0.000380463213963,3
Community 611,0.000380463213963,3
Community 612,0.000380463213963,3
Community 613,0.000380463213963,3
Community 614,0.000380463213963,3
Community 615,0.000380463213963,3
Community 616,0.000380463213963,3
Community 617,0.000380463213963,3
Community 618,0.000380463213963,3
Community 619,0.000380463213963,3
Community 620,0.000380463213963,3
Community 621,0.000380463213963,3
Community 622,0.000380463213963,3
Community 623,0.000380463213963,3
Community 624,0.000380463213963,3
Community 625,0.000380463213963,3
Community 626,0.000380463213963,3
Community 627,0.000380463213963,3
Community 628,0.000380463213963,3
Community 629,0.000380463213963,3
Community 630,0.000380463213963,3
Community 631,0.000380463213963,3
Community 632,0.000380463213963,3
Community 633,0.000380463213963,3
Community 634,0.000380463213963,3
Community 635,0.000380463213963,3
Community 636,0.000380463213963,3
Community 637,0.000380463213963,3
Community 638,0.000380463213963,3
Community 639,0.000380463213963,3
Community 640,0.000380463213963,3
Community 641,0.000380463213963,3
Community 642,0.000380463213963,3
Community 643,0.000380463213963,3
Community 644,0.000380463213963,3
Community 645,0.000380463213963,3
Community 646,0.000380463213963,3
Community 647,0.000380463213963,3
Community 648,0.000380463213963,3
Community 649,0.000380463213963,3
Community 650,0.000380463213963,3
Community 651,0.000380463213963,3
Community 652,0.000380463213963,3
Community 653,0.000380463213963,3
Community 654,0.000380463213963,3
Community 655,0.000380463213963,3
Community 656,0.000380463213963,3
Community 657,0.000380463213963,3
Community 658,0.000380463213963,3
Community 659,0.000380463213963,3
Community 660,0.000380463213963,3
Community 661,0.000380463213963,3
Community 662,0.000380463213963,3
Community 663,0.000380463213963,3
Community 664,0.000380463213963,3
Community 665,0.000380463213963,3
Community 666,0.000380463213963,3
Community 667,0.000380463213963,3
Community 668,0.000380463213963,3
Community 669,0.000380463213963,3
Community 670,0.000380463213963,3
Community 671,0.000380463213963,3
Community 672,0.000380463213963,3
Community 673,0.000380463213963,3
Community 674,0.000380463213963,3
Community 675,0.000380463213963,3
Community 676,0.000380463213963,3
Community 677,0.000380463213963,3
Community 678,0.000380463213963,3
Community 679,0.000380463213963,3
Community 680,0.000380463213963,3
Community 681,0.000380463213963,3
Community 682,0.000380463213963,3
Community 683,0.000380463213963,3
Community 684,0.000380463213963,3
Community 685,0.000380463213963,3
Community 686,0.000380463213963,3
Community 687,0.000380463213963,3
Community 688,0.000380463213963,3
Community 689,0.000380463213963,3
Community 690,0.000380463213963,3
Community 691,0.000380463213963,3
Community 692,0.000380463213963,3
Community 693,0.000380463213963,3
Community 694,0.000380463213963,3
Community 695,0.000380463213963,3
Community 696,0.000380463213963,3
Community 697,0.000380463213963,3
Community 698,0.000380463213963,3
Community 699,0.000380463213963,3
Community 700,0.000380463213963,3
Community 701,0.000380463213963,3
Community 702,0.000380463213963,3
Community 703,0.000380463213963,3
Community 704,0.000380463213963,3
Community 705,0.000380463213963,3
Community 706,0.000380463213963,3
Community 707,0.000380463213963,3
Community 708,0.000380463213963,3
Community 709,0.000380463213963,3
Community 710,0.000380463213963,3
Community 711,0.000380463213963,3
Community 712,0.000380463213963,3
Community 713,0.000380463213963,3
Community 714,0.000380463213963,3
Community 715,0.000380463213963,3
Community 716,0.000380463213963,3
Community 717,0.000380463213963,3
Community 718,0.000380463213963,3
Community 719,0.000380463213963,3
Community 720,0.000380463213963,3
Community 721,0.000380463213963,3
Community 722,0.000380463213963,3
Community 723,0.000380463213963,3
Community 724,0.000380463213963,3
Community 725,0.000380463213963,3
Community 726,0.000380463213963,3
Community 727,0.000380463213963,3
Community 728,0.000380463213963,3
Community 729,0.000380463213963,3
Community 730,0.000380463213963,3
Community 731,0.000380463213963,3
Community 732,0.000380463213963,3
Community 733,0.000380463213963,3
Community 734,0.000380463213963,3
Community 735,0.000380463213963,3
Community 736,0.000380463213963,3
Community 737,0.000380463213963,3
Community 738,0.000380463213963,3
Community 739,0.000380463213963,3
Community 740,0.000380463213963,3
Community 741,0.000380463213963,3
Community 742,0.000380463213963,3
Community 743,0.000380463213963,3
Community 744,0.000380463213963,3
Community 745,0.000380463213963,3
Community 746,0.000380463213963,3
Community 747,0.000380463213963,3
Community 748,0.000380463213963,3
Community 749,0.000380463213963,3
Community 750,0.000380463213963,3
Community 751,0.000380463213963,3
Community 752,0.000380463213963,3
Community 753,0.000380463213963,3
Community 754,0.000380463213963,3
Community 755,0.000380463213963,3
Community 756,0.000380463213963,3
Community 757,0.000380463213963,3
Community 758,0.000380463213963,3
Community 759,0.000380463213963,3
Community 760,0.000380463213963,3
Community 761,0.000380463213963,3
Community 762,0.000380463213963,3
Community 763,0.000380463213963,3
Community 764,0.000380463213963,3
Community 765,0.000380463213963,3
Community 766,0.000380463213963,3
Community 767,0.000380463213963,3
Community 768,0.000380463213963,3
Community 769,0.000380463213963,3
Community 770,0.000380463213963,3
Community 771,0.000380463213963,3
Community 772,0.000380463213963,3
Community 773,0.000380463213963,3
Community 774,0.000380463213963,3
Community 775,0.000380463213963,3
Community 776,0.000380463213963,3
Community 777,0.000380463213963,3
Community 778,0.000380463213963,3
Community 779,0.000380463213963,3
Community 780,0.000380463213963,3
Community 781,0.000380463213963,3
Community 782,0.000380463213963,3
Community 783,0.000380463213963,3
Community 784,0.000380463213963,3
Community 785,0.000380463213963,3
Community 786,0.000380463213963,3
Community 787,0.000380463213963,3
Community 788,0.000380463213963,3
Community 789,0.000380463213963,3
Community 790,0.000380463213963,3
Community 791,0.000380463213963,3
Community 792,0.000380463213963,3
Community 793,0.000380463213963,3
Community 794,0.000380463213963,3
Community 795,0.000380463213963,3
Community 796,0.000380463213963,3
Community 797,0.000380463213963,3
