Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id,tweet_text_lower,content_category
633,rob dodson jr,"@dereckapurnell @BrianParticelli @chadwickboseman Better one with his mask. I actually fought back tears last night when I told him Chadwick passed away. He loves Black Panther and even seeing Chadwick in other movies, he always called him BP.  https://t.co/G7jOvBYB0N",Sat Aug 29 18:47:30 +0000 2020,United States,381,0,157,2020-08-29 18:47:30+00:00,False,dereckapurnell,"@dereckapurnell, @BrianParticelli, @chadwickboseman",Missing_Retweet_ID,dereckapurnell,0.096,0.753,0.151,0.5267,5.0,0.4120734908136483,0.6018957345971564,0.3450591850350835,0.4711877620069523,632,original,,"@dereckapurnell @brianparticelli @chadwickboseman better one with his mask. i actually fought back tears last night when i told him chadwick passed away. he loves black panther and even seeing chadwick in other movies, he always called him bp.  https://t.co/g7jovbyb0n",Black Panther
641,wendy’s chicken sandwich,"Yesterday one of my favourite actors passed away and I cant find the words to express how I feel about it, Im heartbroken. Fly high Chadwick! #WakandaForever #ChadwickBoseman",Sat Aug 29 18:41:42 +0000 2020,Antarctica,18,0,2,2020-08-29 18:41:42+00:00,True,self,,Missing_Retweet_ID,,0.155,0.845,0.0,-0.68,Other,0.1111111111111111,0.028081123244929798,0.1053605156578263,0.02769407758183718,640,original,,"yesterday one of my favourite actors passed away and i cant find the words to express how i feel about it, im heartbroken. fly high chadwick! #wakandaforever #chadwickboseman",Black Panther
649,angie baries,@RobertDowneyJr @chadwickboseman How Sad That Chadwick Boseman Passed away at 43 It is not fair I did not have the opportunity to meet him in person who rests in peace may rest in peace Chadwick Boseman BAlways Remeber Black Panther It is Always in My Heart My Feelings and my prayers For The Boseman Family ,Sat Aug 29 18:36:03 +0000 2020,,19,0,10,2020-08-29 18:36:03+00:00,True,RobertDowneyJr,"@RobertDowneyJr, @chadwickboseman",Missing_Retweet_ID,RobertDowneyJr,0.117,0.773,0.11,0.1546,14.0,0.5263157894736842,0.029275808936825885,0.42285685082003355,0.02885545683255573,648,original,,@robertdowneyjr @chadwickboseman how sad that chadwick boseman passed away at 43 it is not fair i did not have the opportunity to meet him in person who rests in peace may rest in peace chadwick boseman balways remeber black panther it is always in my heart my feelings and my prayers for the boseman family ,Black Panther
659,ritik jaiswal,"So hard to hear this !!
Black panther star Chad bosemam passed away
RIP .. https://t.co/rYwJBZ5n1B",Sat Aug 29 18:23:06 +0000 2020,Azamgarh,6,0,1,2020-08-29 18:23:06+00:00,True,self,,Missing_Retweet_ID,,0.132,0.868,0.0,-0.3131,Other,0.16666666666666666,0.009104704097116844,0.15415067982725827,0.009063506153346921,658,original,,"so hard to hear this !!
black panther star chad bosemam passed away
rip .. https://t.co/rywjbz5n1b",Black Panther
660,angie baries,@JeremyRenner How Sad Chadwick Boseman Passed away at 43 It is not fair I did not have the opportunity to meet him in person who rests in peace Always remeber Black Panther Always live her in My Heart  ,Sat Aug 29 18:21:50 +0000 2020,,19,0,2,2020-08-29 18:21:50+00:00,True,JeremyRenner,@JeremyRenner,Missing_Retweet_ID,JeremyRenner,0.168,0.752,0.08,-0.4393,14.0,0.10526315789473684,0.02878787878787879,0.10008345855698253,0.028381292538224898,659,original,,@jeremyrenner how sad chadwick boseman passed away at 43 it is not fair i did not have the opportunity to meet him in person who rests in peace always remeber black panther always live her in my heart  ,Black Panther
683,prince khant,"Really 2020 a very bad or worst  year of each n every  peoples. Bcz of when our favourite start was passed  away  that can be not easy  to seen that news. A great actor @chadwickboseman
#ripchadwickboseman
#ChadwickBoseman 
#BlackPanther 
#2020worstyear",Sat Aug 29 17:47:41 +0000 2020,India,3,0,1,2020-08-29 17:47:41+00:00,True,chadwickboseman,@chadwickboseman,Missing_Retweet_ID,,0.231,0.682,0.087,-0.7735,5.0,0.3333333333333333,0.004392386530014641,0.2876820724517809,0.004382768155095162,682,original,,"really 2020 a very bad or worst  year of each n every  peoples. bcz of when our favourite start was passed  away  that can be not easy  to seen that news. a great actor @chadwickboseman
#ripchadwickboseman
#chadwickboseman 
#blackpanther 
#2020worstyear",Black Panther
698,markmarderosian,"@LisaFranceCNN Lisa, Great piece on CNN. Also ironic and yet somehow fitting is that Mr. Boseman passed away on the birthday of Jack Kirby, the co-creator of the Black Panther as well as the Jackie Robinson tribute day, all at once.",Sat Aug 29 17:24:09 +0000 2020,"Massachusetts, USA",16,0,2,2020-08-29 17:24:09+00:00,False,LisaFranceCNN,@LisaFranceCNN,Missing_Retweet_ID,LisaFranceCNN,0.033,0.832,0.136,0.6908,Other,0.125,0.022922636103151862,0.11778303565638346,0.022663859577211915,697,original,,"@lisafrancecnn lisa, great piece on cnn. also ironic and yet somehow fitting is that mr. boseman passed away on the birthday of jack kirby, the co-creator of the black panther as well as the jackie robinson tribute day, all at once.",Black Panther
727,trxpz-related,RIP Chadwick bosemen Also known As Black Panther passed away last night by collin Cancer Stage 4 he has been diagnosed 4 years ago and has been fighting it through all this way until stage 4 Died at the age of 43 at home and family right there with him RIP you will be missed,Sat Aug 29 16:58:21 +0000 2020,,1,0,1,2020-08-29 16:58:21+00:00,True,self,,Missing_Retweet_ID,,0.209,0.791,0.0,-0.9136,Other,1.0,0.001375515818431912,0.6931471805599453,0.0013745706631666035,726,original,,rip chadwick bosemen also known as black panther passed away last night by collin cancer stage 4 he has been diagnosed 4 years ago and has been fighting it through all this way until stage 4 died at the age of 43 at home and family right there with him rip you will be missed,Black Panther
742,brandon,"Idk if its just me... but I feel like its lowkey disrespectful when some yall say RIP Black Panther, when Robin Williams died I aint seen  nobody sayin rip Mrs. Doubtfire... I understand the good intention... but the name of the man who passed away is Chadwick Boseman.",Sat Aug 29 16:43:55 +0000 2020,,98,2,6,2020-08-29 16:43:55+00:00,True,self,,Missing_Retweet_ID,,0.113,0.756,0.131,0.25,Other,0.08163265306122448,0.1320754716981132,0.07847161544149522,0.12405264866997885,741,original,,"idk if its just me... but i feel like its lowkey disrespectful when some yall say rip black panther, when robin williams died i aint seen  nobody sayin rip mrs. doubtfire... i understand the good intention... but the name of the man who passed away is chadwick boseman.",Black Panther
749,🔥lord of cinder🔥,"Yesterday we lost a great memeber of the Marvel Cinematic Universe. Chadwick Boseman, known for his role as Black Panther, passed away at 43 after fighting 4 years of Colon Cancer. Rest in peace Chadwick. You will be missed greatly.  #WakandaForever #RIPChadBoseman https://t.co/DALoVCgxEL",Sat Aug 29 16:33:57 +0000 2020,"Texas, USA",32,0,4,2020-08-29 16:33:57+00:00,True,self,,Missing_Retweet_ID,,0.204,0.609,0.186,0.0,Other,0.125,0.042723631508678236,0.11778303565638346,0.041836166322466485,748,original,,"yesterday we lost a great memeber of the marvel cinematic universe. chadwick boseman, known for his role as black panther, passed away at 43 after fighting 4 years of colon cancer. rest in peace chadwick. you will be missed greatly.  #wakandaforever #ripchadboseman https://t.co/dalovcgxel",Marvel
