Node,Hop Distance,Influence Decay
zee,1,0.00051362533885005
zee,2,0.000462262804965045
zee,3,0.00041603652446854054
zee,4,0.0003744328720216864
@SimthaMagobo,1,0.000256812669425025
@SimthaMagobo,2,0.0002311314024825225
@SimthaMagobo,3,0.00020801826223427027
@SimthaMagobo,4,0.0001872164360108432
SimthaMagobo,1,0.000256812669425025
SimthaMagobo,2,0.0002311314024825225
SimthaMagobo,3,0.00020801826223427027
SimthaMagobo,4,0.0001872164360108432
DT Next,1,0.000256812669425025
DT Next,2,0.0002311314024825225
DT Next,3,0.00020801826223427027
DT Next,4,0.0001872164360108432
@michaelb4jordan,1,0.00051362533885005
@michaelb4jordan,2,0.000462262804965045
@michaelb4jordan,3,0.00041603652446854054
@michaelb4jordan,4,0.0003744328720216864
 ,1,0.005906691396775575
 ,2,0.0053160222570980175
 ,3,0.004784420031388216
 ,4,0.0043059780282493935
@SaegerBomb,1,0.000256812669425025
@SaegerBomb,2,0.0002311314024825225
@SaegerBomb,3,0.00020801826223427027
@SaegerBomb,4,0.0001872164360108432
SaegerBomb,1,0.000256812669425025
SaegerBomb,2,0.0002311314024825225
SaegerBomb,3,0.00020801826223427027
SaegerBomb,4,0.0001872164360108432
Bozz ,1,0.000770438008275075
Bozz ,2,0.0006933942074475674
Bozz ,3,0.0006240547867028107
Bozz ,4,0.0005616493080325296
@PhantomPanda7,1,0.000256812669425025
@PhantomPanda7,2,0.0002311314024825225
@PhantomPanda7,3,0.00020801826223427027
@PhantomPanda7,4,0.0001872164360108432
@JullianBurdett,1,0.000256812669425025
@JullianBurdett,2,0.0002311314024825225
@JullianBurdett,3,0.00020801826223427027
@JullianBurdett,4,0.0001872164360108432
PhantomPanda7,1,0.000256812669425025
PhantomPanda7,2,0.0002311314024825225
PhantomPanda7,3,0.00020801826223427027
PhantomPanda7,4,0.0001872164360108432
SK8RxPUNK,1,0.000770438008275075
SK8RxPUNK,2,0.0006933942074475674
SK8RxPUNK,3,0.0006240547867028107
SK8RxPUNK,4,0.0005616493080325296
@slicer141,1,0.000256812669425025
@slicer141,2,0.0002311314024825225
@slicer141,3,0.00020801826223427027
@slicer141,4,0.0001872164360108432
slicer141,1,0.000256812669425025
slicer141,2,0.0002311314024825225
slicer141,3,0.00020801826223427027
slicer141,4,0.0001872164360108432
LastoftheEra,1,0.0012840633471251249
LastoftheEra,2,0.0011556570124126124
LastoftheEra,3,0.0010400913111713512
LastoftheEra,4,0.0009360821800542161
@Elmajoh,1,0.000256812669425025
@Elmajoh,2,0.0002311314024825225
@Elmajoh,3,0.00020801826223427027
@Elmajoh,4,0.0001872164360108432
@PalombizioTony,1,0.000256812669425025
@PalombizioTony,2,0.0002311314024825225
@PalombizioTony,3,0.00020801826223427027
@PalombizioTony,4,0.0001872164360108432
@yvelisseoficial,1,0.000256812669425025
@yvelisseoficial,2,0.0002311314024825225
@yvelisseoficial,3,0.00020801826223427027
@yvelisseoficial,4,0.0001872164360108432
@EyesOnQ,1,0.00051362533885005
@EyesOnQ,2,0.000462262804965045
@EyesOnQ,3,0.00041603652446854054
@EyesOnQ,4,0.0003744328720216864
Elmajoh,1,0.000256812669425025
Elmajoh,2,0.0002311314024825225
Elmajoh,3,0.00020801826223427027
Elmajoh,4,0.0001872164360108432
QuRan Cook AKA THE DREAMKILLER,1,0.00051362533885005
QuRan Cook AKA THE DREAMKILLER,2,0.000462262804965045
QuRan Cook AKA THE DREAMKILLER,3,0.00041603652446854054
QuRan Cook AKA THE DREAMKILLER,4,0.0003744328720216864
@johnnyfarmerCAW,1,0.000256812669425025
@johnnyfarmerCAW,2,0.0002311314024825225
@johnnyfarmerCAW,3,0.00020801826223427027
@johnnyfarmerCAW,4,0.0001872164360108432
johnnyfarmerCAW,1,0.000256812669425025
johnnyfarmerCAW,2,0.0002311314024825225
johnnyfarmerCAW,3,0.00020801826223427027
johnnyfarmerCAW,4,0.0001872164360108432
Martha McKinney,1,0.000256812669425025
Martha McKinney,2,0.0002311314024825225
Martha McKinney,3,0.00020801826223427027
Martha McKinney,4,0.0001872164360108432
@TODAYshow,1,0.000256812669425025
@TODAYshow,2,0.0002311314024825225
@TODAYshow,3,0.00020801826223427027
@TODAYshow,4,0.0001872164360108432
Xad,1,0.000770438008275075
