formatted_created_at,neg,neu,pos,compound
2020-08-29 13:37:00,0.119,0.769,0.112,-0.0516
2020-08-29 13:34:00,0.177,0.54,0.283,0.4504
2020-08-29 13:30:00,0.273,0.559,0.168,-0.3612
2020-08-29 13:27:00,0.0,0.619,0.381,0.8225
2020-08-29 13:24:00,0.257,0.497,0.246,-0.1206
2020-08-29 13:22:00,0.172,0.457,0.371,0.6003
2020-08-29 13:18:00,0.257,0.608,0.135,-0.5563
2020-08-29 13:16:00,0.156,0.638,0.206,0.1779
2020-08-29 13:16:00,0.254,0.746,0.0,-0.8481
2020-08-29 13:13:00,0.148,0.76,0.091,-0.3612
2020-08-29 13:10:00,0.134,0.866,0.0,-0.4767
2020-08-29 13:10:00,0.336,0.527,0.137,-0.6887
2020-08-29 13:09:00,0.0,0.578,0.422,0.8074
2020-08-29 13:04:00,0.0,1.0,0.0,0.0
2020-08-29 13:00:00,0.126,0.569,0.305,0.6597
2020-08-29 12:59:00,0.277,0.596,0.128,-0.5423
2020-08-29 12:56:00,0.0,0.72,0.28,0.5423
2020-08-29 12:54:00,0.305,0.695,0.0,-0.8481
2020-08-29 12:50:00,0.0,1.0,0.0,0.0
2020-08-29 12:48:00,0.456,0.544,0.0,-0.9117
2020-08-29 12:48:00,0.423,0.577,0.0,-0.6597
2020-08-29 12:44:00,0.395,0.568,0.037,-0.9382
2020-08-29 12:41:00,0.266,0.734,0.0,-0.4391
2020-08-29 12:37:00,0.0,0.755,0.245,0.7964
2020-08-29 12:36:00,0.0,1.0,0.0,0.0
2020-08-29 12:35:00,0.229,0.572,0.199,-0.2732
2020-08-29 12:34:00,0.379,0.468,0.153,-0.849
2020-08-29 12:32:00,0.306,0.694,0.0,-0.6597
2020-08-29 12:31:00,0.347,0.653,0.0,-0.8779
2020-08-29 12:30:00,0.148,0.416,0.436,0.8779
2020-08-29 12:30:00,0.418,0.402,0.18,-0.836
2020-08-29 12:29:00,0.0,1.0,0.0,0.0
2020-08-29 12:28:00,0.165,0.563,0.272,0.5279
2020-08-29 12:28:00,0.272,0.586,0.142,-0.4767
2020-08-29 12:27:00,0.286,0.714,0.0,-0.6597
2020-08-29 12:26:00,0.0,1.0,0.0,0.0
2020-08-29 12:26:00,0.077,0.847,0.077,0.0
2020-08-29 12:25:00,0.304,0.696,0.0,-0.5423
2020-08-29 12:24:00,0.209,0.553,0.237,0.1779
2020-08-29 12:22:00,0.273,0.727,0.0,-0.4588
2020-08-29 12:18:00,0.0,0.899,0.101,0.4215
2020-08-29 12:15:00,0.383,0.617,0.0,-0.4767
2020-08-29 12:14:00,0.387,0.613,0.0,-0.9274
2020-08-29 12:13:00,0.314,0.554,0.131,-0.872
2020-08-29 12:13:00,0.415,0.5,0.085,-0.8815
2020-08-29 12:11:00,0.16,0.453,0.387,0.8591
2020-08-29 12:11:00,0.272,0.496,0.232,-0.1779
2020-08-29 12:03:00,0.236,0.565,0.199,-0.3612
2020-08-29 12:03:00,0.292,0.541,0.168,-0.3182
2020-08-29 12:01:00,0.13,0.504,0.366,0.6808
