Node,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Engagement
@netflix,0.0008560422314167499,0.00029074246353839905,0.050786660848343594,0.0008560422314167499
@latimesmovies,0.00028534741047224997,0.0,0.050767566922340086,0.00028534741047224997
ishu | Bright After Rain ,0.0011413896418889999,3.664564346818279e-07,0.0005944737718171875,0.0011413896418889999
@niceweirdo14,0.00028534741047224997,0.0,0.00035668426309031246,0.00028534741047224997
@1woo17,0.00028534741047224997,0.0,0.00035668426309031246,0.00028534741047224997
niceweirdo14,0.00028534741047224997,0.0,0.00035668426309031246,0.00028534741047224997
worlds biggest thunder fan,0.0008560422314167499,1.2215214489394262e-07,0.00042802111570837496,0.0008560422314167499
@LunaYenitze,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
@Ninety9us,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
LunaYenitze,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
Illastr8 Radio,0.00028534741047224997,0.0,0.07874425119191616,0.00028534741047224997
Mampho Ngakane ,0.0005706948209444999,4.071738163131421e-08,0.00028534741047224997,0.0005706948209444999
@fanamokoena,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
fanamokoena,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
RodaMoon  MFF2024 BlackLivesMatter,0.0008560422314167499,1.2215214489394262e-07,0.00042802111570837496,0.0008560422314167499
@MyEcho4,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
@gonzalezratili1,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
MyEcho4,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
Haliee ,0.0005706948209444999,4.071738163131421e-08,0.00028534741047224997,0.0005706948209444999
@breeedior,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
breeedior,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
gock40spazz,0.0008560422314167499,6.107607244697131e-08,0.0004565558567556,0.0008560422314167499
@AngelAl3xander,0.0005706948209444999,1.3572460543771402e-08,0.0003804632139629999,0.0005706948209444999
@NariSpaceCamp,0.0005706948209444999,1.3572460543771402e-08,0.0003804632139629999,0.0005706948209444999
AngelAl3xander,0.0005706948209444999,1.3572460543771402e-08,0.0003804632139629999,0.0005706948209444999
KevinDeanHatesLiberals,0.00028534741047224997,0.0,0.00014267370523612499,0.00028534741047224997
@KekePalmer,0.00028534741047224997,0.0,0.00014267370523612499,0.00028534741047224997
Spencer Paysinger,0.0005706948209444999,4.071738163131421e-08,0.00028534741047224997,0.0005706948209444999
@mikeham21,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
mikeham21,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
John Stud,0.0008560422314167499,1.2215214489394262e-07,0.00042802111570837496,0.0008560422314167499
@KyeKapri,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
@PlayAvenger,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
KyeKapri,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
BradleyJH,0.0008560422314167499,0.00019393688870994957,0.05721748591197919,0.0008560422314167499
@AvengersLegend,0.00028534741047224997,0.0,0.048978333968904934,0.00028534741047224997
@PlayAvengers,0.0025681266942502497,0.002705920859740999,0.06876588019976451,0.0025681266942502497
AvengersLegend,0.00028534741047224997,0.0,0.048978333968904934,0.00028534741047224997
zee,0.0005706948209444999,4.071738163131421e-08,0.00028534741047224997,0.0005706948209444999
