Node,Hop Distance,Influence Decay
Nh3engineer,1,0.000256812669425
Nh3engineer,2,0.0002311314024825
Nh3engineer,3,0.0002080182622342
Nh3engineer,4,0.0001872164360108
Lettertab,1,0.000256812669425
Lettertab,2,0.0002311314024825
Lettertab,3,0.0002080182622342
Lettertab,4,0.0001872164360108
@karldelo,1,0.000256812669425
@karldelo,2,0.0002311314024825
@karldelo,3,0.0002080182622342
@karldelo,4,0.0001872164360108
Donnell Wilson ,1,0.00051362533885
Donnell Wilson ,2,0.000462262804965
Donnell Wilson ,3,0.0004160365244685
Donnell Wilson ,4,0.0003744328720216
@Jonesness,1,0.000256812669425
@Jonesness,2,0.0002311314024825
@Jonesness,3,0.0002080182622342
@Jonesness,4,0.0001872164360108
Jonesness,1,0.000256812669425
Jonesness,2,0.0002311314024825
Jonesness,3,0.0002080182622342
Jonesness,4,0.0001872164360108
SEVENTEEN WEVERSE,1,0.000256812669425
SEVENTEEN WEVERSE,2,0.0002311314024825
SEVENTEEN WEVERSE,3,0.0002080182622342
SEVENTEEN WEVERSE,4,0.0001872164360108
@pledis17,1,0.00051362533885
@pledis17,2,0.000462262804965
@pledis17,3,0.0004160365244685
@pledis17,4,0.0003744328720216
Movie Plus News,1,0.0010272506777001
Movie Plus News,2,0.00092452560993
Movie Plus News,3,0.000832073048937
Movie Plus News,4,0.0007488657440433
@HollywoodRecs,1,0.000256812669425
@HollywoodRecs,2,0.0002311314024825
@HollywoodRecs,3,0.0002080182622342
@HollywoodRecs,4,0.0001872164360108
@netflix,1,0.000770438008275
@netflix,2,0.0006933942074475
@netflix,3,0.0006240547867028
@netflix,4,0.0005616493080325
@latimesmovies,1,0.000256812669425
@latimesmovies,2,0.0002311314024825
@latimesmovies,3,0.0002080182622342
@latimesmovies,4,0.0001872164360108
ishu | Bright After Rain ,1,0.0010272506777001
ishu | Bright After Rain ,2,0.00092452560993
ishu | Bright After Rain ,3,0.000832073048937
ishu | Bright After Rain ,4,0.0007488657440433
@niceweirdo14,1,0.000256812669425
@niceweirdo14,2,0.0002311314024825
@niceweirdo14,3,0.0002080182622342
@niceweirdo14,4,0.0001872164360108
@1woo17,1,0.000256812669425
@1woo17,2,0.0002311314024825
@1woo17,3,0.0002080182622342
@1woo17,4,0.0001872164360108
niceweirdo14,1,0.000256812669425
niceweirdo14,2,0.0002311314024825
niceweirdo14,3,0.0002080182622342
niceweirdo14,4,0.0001872164360108
worlds biggest thunder fan,1,0.000770438008275
worlds biggest thunder fan,2,0.0006933942074475
worlds biggest thunder fan,3,0.0006240547867028
worlds biggest thunder fan,4,0.0005616493080325
@LunaYenitze,1,0.000256812669425
@LunaYenitze,2,0.0002311314024825
@LunaYenitze,3,0.0002080182622342
@LunaYenitze,4,0.0001872164360108
@Ninety9us,1,0.000256812669425
@Ninety9us,2,0.0002311314024825
@Ninety9us,3,0.0002080182622342
@Ninety9us,4,0.0001872164360108
LunaYenitze,1,0.000256812669425
LunaYenitze,2,0.0002311314024825
LunaYenitze,3,0.0002080182622342
LunaYenitze,4,0.0001872164360108
Illastr8 Radio,1,0.000256812669425
Illastr8 Radio,2,0.0002311314024825
Illastr8 Radio,3,0.0002080182622342
Illastr8 Radio,4,0.0001872164360108
Mampho Ngakane ,1,0.00051362533885
Mampho Ngakane ,2,0.000462262804965
Mampho Ngakane ,3,0.0004160365244685
Mampho Ngakane ,4,0.0003744328720216
@fanamokoena,1,0.000256812669425
@fanamokoena,2,0.0002311314024825
@fanamokoena,3,0.0002080182622342
@fanamokoena,4,0.0001872164360108
fanamokoena,1,0.000256812669425
fanamokoena,2,0.0002311314024825
fanamokoena,3,0.0002080182622342
fanamokoena,4,0.0001872164360108
RodaMoon  MFF2024 BlackLivesMatter,1,0.000770438008275
RodaMoon  MFF2024 BlackLivesMatter,2,0.0006933942074475
RodaMoon  MFF2024 BlackLivesMatter,3,0.0006240547867028
RodaMoon  MFF2024 BlackLivesMatter,4,0.0005616493080325
@MyEcho4,1,0.000256812669425
@MyEcho4,2,0.0002311314024825
@MyEcho4,3,0.0002080182622342
